1523,0,30.01
3046,1,32.76
4569,2,33.44
6092,3,33.63
7615,4,33.88
9138,5,34.04
10661,6,34.15
12184,7,34.30
13707,8,34.23
15230,9,34.47
16753,10,34.56
18276,11,34.61
19799,12,34.61
21322,13,34.69
22845,14,34.69
24368,15,34.80
25891,16,34.84
27414,17,34.60
28937,18,34.87
30460,19,34.72
31983,20,34.56
33506,21,34.88
35029,22,34.98
36552,23,34.92
38075,24,34.95
39598,25,34.97
41121,26,34.75
42644,27,34.98
44167,28,35.06
45690,29,35.04
47213,30,34.92
48736,31,35.03
50259,32,35.08
51782,33,35.02
53305,34,35.09
54828,35,35.09
56351,36,35.03
57874,37,35.02
59397,38,35.16
60920,39,35.15
62443,40,35.15
63966,41,35.15
65489,42,35.18
67012,43,35.07
68535,44,35.19
70058,45,35.16
71581,46,35.14
73104,47,35.18
74627,48,35.10
76150,49,35.26
77673,50,35.20
79196,51,35.30
80719,52,35.30
82242,53,35.30
83765,54,35.30
85288,55,35.33
86811,56,35.32
88334,57,35.34
89857,58,35.29
91380,59,35.29
92903,60,35.36
94426,61,35.37
95949,62,35.35
97472,63,35.32
98995,64,35.26
100518,65,35.36
102041,66,35.40
103564,67,35.40
105087,68,35.34
106610,69,35.39
108133,70,35.40
109656,71,35.40
111179,72,35.43
112702,73,35.37
114225,74,35.28
115748,75,35.42
117271,76,35.44
118794,77,35.46
120317,78,35.44
121840,79,35.45
123363,80,35.49
124886,81,35.46
126409,82,35.47
127932,83,35.50
129455,84,35.49
130978,85,35.47
132501,86,35.43
134024,87,35.39
135547,88,35.50
137070,89,35.51
138593,90,35.54
140116,91,35.50
141639,92,35.52
143162,93,35.51
144685,94,35.47
146208,95,35.51
147731,96,35.55
149254,97,35.51
150777,98,35.51
152300,99,35.50
153823,100,35.53
155346,101,35.54
156869,102,35.52
158392,103,35.56
159915,104,35.51
161438,105,35.53
162961,106,35.56
164484,107,35.56
166007,108,35.54
167530,109,35.60
169053,110,35.55
170576,111,35.53
172099,112,35.60
173622,113,35.60
175145,114,35.62
176668,115,35.60
178191,116,35.60
179714,117,35.59
181237,118,35.60
182760,119,35.61
184283,120,35.60
185806,121,35.60
187329,122,35.56
188852,123,35.64
190375,124,35.63
191898,125,35.61
193421,126,35.64
194944,127,35.65
196467,128,35.66
197990,129,35.62
199513,130,35.66
201036,131,35.63
202559,132,35.60
204082,133,35.66
205605,134,35.65
207128,135,35.66
208651,136,35.68
210174,137,35.68
211697,138,35.67
213220,139,35.69
214743,140,35.66
216266,141,35.68
217789,142,35.70
219312,143,35.72
220835,144,35.71
222358,145,35.68
223881,146,35.70
225404,147,35.71
226927,148,35.69
228450,149,35.70
229973,150,35.71
231496,151,35.72
233019,152,35.69
234542,153,35.71
236065,154,35.72
237588,155,35.69
239111,156,35.74
240634,157,35.72
242157,158,35.72
243680,159,35.73
245203,160,35.73
246726,161,35.71
248249,162,35.72
249772,163,35.75
251295,164,35.75
252818,165,35.77
254341,166,35.75
255864,167,35.76
257387,168,35.75
258910,169,35.76
