Step,Epoch,Value,,All,PSNR 35.469,SSIM 0.977,"Channels: 240, 152, 88"
298508,195,35.94733047,,,,,
300031,196,35.93462372,,,,,
301554,197,35.92431259,,,,,
303077,198,35.93830109,,,,,
304600,199,35.93471527,,,,,
306123,200,35.9114418,,,,,
307646,201,35.93041992,,,,,
309169,202,35.95171738,,,,,
310692,203,35.93411636,,,,,
312215,204,35.97000504,,,,,
313738,205,35.9404335,,,,,
315261,206,35.94875717,,,,,
316784,207,35.96144485,,,,,
318307,208,35.95563889,,,,,
319830,209,35.95917892,,,,,
321353,210,35.94385529,,,,,
322876,211,35.95558548,,,,,
324399,212,35.97041321,,,,,
325922,213,35.9804039,,,,,
327445,214,35.95600891,,,,,
328968,215,35.95647049,,,,,
330491,216,35.96123505,,,,,
332014,217,35.95015335,,,,,
333537,218,35.96796799,,,,,
335060,219,35.95692825,,,,,
336583,220,35.97397232,,,,,
338106,221,35.96705246,,,,,
339629,222,35.97415543,,,,,
341152,223,35.98099899,,,,,
342675,224,35.98672485,,,,,
344198,225,35.99802017,,,,,
345721,226,35.98594284,,,,,
347244,227,35.97378922,,,,,
348767,228,36.0004921,,,,,
350290,229,35.99399567,,,,,
351813,230,35.98469925,,,,,
353336,231,35.97859192,,,,,
354859,232,35.99358368,,,,,
356382,233,35.99513245,,,,,
357905,234,36.01285553,,,,,
359428,235,35.99914551,,,,,
360951,236,35.98910522,,,,,
362474,237,35.99309158,,,,,
363997,238,35.98882675,,,,,
365520,239,36.002388,,,,,
367043,240,36.00606155,,,,,
368566,241,35.99443817,,,,,
370089,242,36.00397491,,,,,
371612,243,35.99819565,,,,,
373135,244,36.00590515,,,,,
374658,245,36.0173111,,,,,
376181,246,36.01194,,,,,
377704,247,36.01678085,,,,,
379227,248,36.01791,,,,,
380750,249,36.01069641,,,,,
382273,250,36.02473068,,,,,
383796,251,36.01642609,,,,,
385319,252,36.01460648,,,,,
386842,253,36.01692581,,,,,
388365,254,36.02577591,,,,,
389888,255,36.02600098,,,,,
391411,256,36.03421402,,,,,
392934,257,36.03051758,,,,,
394457,258,36.03830338,,,,,
395980,259,36.01582336,,,,,
397503,260,36.03084946,,,,,
399026,261,36.04678345,,,,,
400549,262,36.02374649,,,,,
